@relation Tudo
 @attribute frase string
 @attribute PouN {P,N}
 @data
" bad bother embarrassed enjoyed horrible remotely stupid supposed ", N
" minutes plot pointless waste worst ", N
"  ", N
" enjoyed love well ", N
" terrible worst ", N
" boring minutes plot poorly trash ", N
" ridiculous ", N
" bad enjoyed supposed well ", N
" beautiful nothing outstanding poorly ", N
" awful bad disaster plot predictable ", N
" avoid beautiful boring enjoyed great minutes waste ", N
" bad horrible wasted ", N
" beautiful love poor skip ", N
" amazing ", N
" bad poor worst ", N
" bad nothing pathetic script ", N
" love ", N
" couldnt different painful today why ", N
" awful bad great plot ", N
" beautiful couldnt plot redeeming waste ", N
" awful bad poor remotely well why ", N
" laughable plot terrible worst ", N
" bad disaster minutes nothing worst ", N
" crap horrible painful waste worst ", N
" plot ridiculous supposed well ", N
" great plot why ", N
" minutes plot stupid wasted wooden worst ", N
" nothing pointless poor script well ", N
" dreadful favorite great nothing plot stupid well ", N
" bad boring waste well ", N
" couldnt crap lame mstk plot stupid supposed worst ", N
" supposed ", N
" awful bad laughable plot waste ", N
" favorite minutes painful ", N
" annoying bad different disaster excellent great nothing poor predictable script stupid supposed well why ", N
" annoying awful different forgettable horrible laughable wooden worst ", N
" laughable stupid why ", N
" bad love mildly plot stupid supposed well why ", N
" great mildly minutes plot waste ", N
" nothing plot why ", N
" awful plot worst ", N
" disaster forgettable mildly why ", N
"  ", N
" awful bad bother cheap great plot predictable why worse worst ", N
" boring skip supposed ", N
" awful nothing sorry waste ", N
" bad plot poor ridiculous ", N
" embarrassed remotely ", N
" pathetic plot ", N
" bad plot ", N
" bad cheap minutes nothing pathetic plot script well worse ", N
" bad nothing plot stupid ", N
" plot waste well why ", N
" awful bad couldnt nothing pathetic perfectly plot poor ridiculous terrible why ", N
" atrocious bad couldnt great plot poor predictable worst ", N
" awful crap horrible laughable ridiculous ", N
" bad why ", N
" boring plot well ", N
"  ", N
" awful bad ", N
" awful great nothing trash worst ", N
" avoid bad perfectly worst ", N
" different great nothing ", N
" bad trash worse ", N
" awful minutes rubbish waste ", N
" amateurish bad decent poor ", N
" crap stupid ", N
" bad crap nothing script why ", N
" couldnt why ", N
" bad dreadful love nothing redeeming trash why worse ", N
" avoid couldnt minutes script worse ", N
" predictable worse ", N
" predictable ", N
" awful nothing ", N
" annoying bad enjoyed fantastic great perfectly plot poor script worse ", N
" bad decent love minutes nothing plot script worse ", N
" awful bad boring decent plot ", N
" worst ", N
" bad love plot why ", N
" script ", N
" bad horrible love well ", N
" awful crap great nothing remotely well ", N
" bad boring great laughable love minutes supposed well worst ", N
" beautiful nothing plot supposed well wonderful ", N
" laughable unfunny well why ", N
" nothing plot pointless script ", N
" bad great minutes script wasted ", N
" awful bad dreadful redeeming script terrible ", N
" excellent great why ", N
"  ", N
" love ", N
" different love poorly well why ", N
" cheap decent terrible worse ", N
" nothing poor ", N
" annoying couldnt worst ", N
" amazing bad redeeming sorry well ", N
" bad worse ", N
"  ", N
" great ", N
" bad poor wasted ", N
" bad enjoyed horrible well ", N
" poor ", N
" enjoyed ", N
"  ", N
" cheap ", N
" awful great pathetic worst ", N
" love loved plot supposed today why ", N
" horrible well ", N
" fantastic outstanding ", N
" painful ", N
" bad supposed terrible touched ", N
" bad beautiful ", N
"  ", N
" beautiful decent different love none nothing ", N
" boring crap decent great minutes nothing terrible wasted why ", N
" avoid awful bad cheap favorite script terrible ", N
" love terrible worse ", N
" boring pointless poor ", N
" bad bother decent great plot poor supposed well ", N
" bad plot why ", N
" love why ", N
" atrocious bad script stupid unfunny ", N
" worst ", N
" mildly today wooden ", N
" amazing bad boring decent nothing predictable supposed terrible worst ", N
" amazing stupid waste ", N
" amazing nothing script worse worst ", N
" beautiful nothing sorry ", N
" different waste ", N
" great stupid ", N
" crap stupid ", N
" bad love ", N
" bad beautiful great nothing well ", N
" supposed waste ", N
" pathetic supposed ", N
"  ", N
" bad great why ", N
" couldnt ", N
" awful bad stupid supposed well ", N
" beautiful great love sorry stupid well wooden ", N
" poor stupid ", N
" horrible script ", N
" well why worst ", N
"  ", N
" bad crap plot ", N
" bad crap love worse ", N
" bad beautiful favorite wasted ", N
"  ", N
" bad ridiculous stupid well ", N
" bad different plot redeeming stupid worst ", N
" beautiful different love minutes nothing well why wooden worse ", N
" boring different great plot redeeming wasted ", N
" rubbish ", N
" bother great love loved poorly script ", N
" painful stupid well ", N
" annoying nothing script ", N
" boring horrible terrible worst ", N
" fails mildly plot poor script terrible ", N
" bad wasted ", N
" annoying crap great love nothing why ", N
" bad boring different love ", N
" crap love mstk stupid well why ", N
" awful bad horrible plot ", N
" bad great poor waste well ", N
" bad crap worst ", N
" annoying different minutes plot predictable wasted well worst ", N
" minutes plot poor terrible well ", N
" couldnt minutes well ", N
" mildly minutes nothing ", N
" bad disaster horrible nothing pointless ridiculous ", N
" boring love plot ", N
" minutes ridiculous ", N
" annoying crap script sorry well why worse ", N
" annoying great minutes well worst ", N
" redeeming ", N
" love sorry well worst ", N
"  ", N
" minutes predictable supposed waste ", N
" amateurish bad cheap couldnt crap horrible mildly nothing script why ", N
" annoying bad minutes poor script well why ", N
"  ", N
" beautiful cheap crap great nothing pathetic plot pointless supposed worse ", N
" bad fails worse ", N
" amateurish amazing awful enjoyed love nothing plot script well worst ", N
" plot ", N
" bad ", N
" waste why worst ", N
" well ", N
" boring love minutes poor well wooden ", N
" forgettable great well ", N
" waste ", N
" awful great pointless script terrible waste why ", N
" unfunny ", N
" bad crap horrible none nothing terrible waste well why ", N
" horrible love well ", N
" bad nothing script wasted well worst ", N
" bad couldnt love poor well why worst ", N
" bad great plot terrible worst ", N
" bad supposed well ", N
" bad waste ", N
" awful bad fails great plot script ", N
" sorry waste wasted ", N
" disaster great skip ", N
" avoid plot well worst ", N
" boring great minutes nothing stupid ", N
" bad dreadful favorite worst ", N
" bad boring great plot terrible worst ", N
" bad laughable nothing plot unfunny well worst ", N
" awful bad worst ", N
" boring nothing remotely why ", N
" boring great supposed terrible ", N
" bad favorite great nothing pointless terrible well worse ", N
" bad wonderful ", N
" amazing beautiful disaster minutes plot poor worse ", N
" bad great none nothing plot poorly well why ", N
" bad ", N
" bad couldnt crap disaster embarrassed none painful plot ridiculous script turkey wasted well why ", N
" bad great well ", N
" bad plot redeeming ridiculous worse ", N
" annoying plot ", N
" awful remotely stupid supposed well worst ", N
" annoying enjoyed ", N
" boring fails well why ", N
" great sorry ", N
" bad different painful waste well why worse ", N
" annoying bad favorite horrible love painful sorry wasted well why ", N
" awful couldnt nothing superb why ", N
" awful excellent great nothing sorry stupid worst ", N
" beautiful decent different fails script terrible well worse ", N
" none strong why ", N
" minutes nothing sorry well ", N
" decent great plot ", N
"  ", N
" poorly worst ", N
" plot ", N
" nothing stupid ", N
" bad couldnt great horrible love none script sorry wonderful ", N
" bad horrible stupid supposed waste worse worst ", N
" bad boring cheap couldnt love minutes sorry stupid supposed trash well ", N
" bad nothing ", N
" crap horrible waste ", N
" amazing great poorly ", N
" bad terrible worst ", N
" fantastic plot predictable ", N
" poor script ", N
" bad decent love nothing supposed well ", N
" boring bother cheap great nothing remotely script terrible why ", N
" cheap plot script well why ", N
" bad none nothing plot remotely worse ", N
" horrible ", N
" superb ", N
" plot redeeming well why ", N
" bad great plot poor script ", N
" horrible nothing plot script well ", N
" plot ", N
" amazing excellent loved script well ", N
" bad fantastic great plot poor well ", N
" bother embarrassed terrible trash ", N
" great trash waste why ", N
" great sorry well ", N
" cheap nothing ridiculous stupid terrible well worst ", N
" favorite poorly skip well ", N
" cheap ", N
" crap love why ", N
" lame poor why ", N
" annoying bad decent horrible supposed why ", N
" annoying bad today trash worse ", N
" cheap nothing plot stupid waste well ", N
" awful bad horrible ", N
" bad why worse worst ", N
" bad bother worst ", N
" stupid unfunny worse ", N
" bad ", N
" annoying awful bad decent horrible terrible waste well worse ", N
"  ", N
" terrible ", N
" great lame plot stupid why ", N
" bad worst ", N
" boring predictable script stupid ", N
" redeeming worst ", N
" bad script wasted well ", N
" great plot ", N
" bad couldnt none well ", N
" awful bad poorly ", N
"  ", N
" bad plot stupid terrible ", N
" love ", N
" awful bad minutes stupid ", N
" amazing horrible stupid unfunny waste worse ", N
" bad love stupid ", N
" bad none why worse worst ", N
" bad supposed ", N
" horrible painful poorly well ", N
" stupid ", N
" avoid bad great minutes pathetic terrible well ", N
" bad disaster plot why ", N
" couldnt minutes plot superb waste ", N
" bad great wasted ", N
" bad dreadful horrible plot stupid waste why worst ", N
" horrible ", N
" plot terrible why worse ", N
" nothing plot terrible ", N
" boring great nothing plot script well ", N
" plot stupid well ", N
" minutes ", N
" bad plot redeeming wasted worse worst ", N
" plot waste well ", N
" couldnt love ridiculous superb supposed ", N
" annoying bad great plot poor sorry today waste ", N
" minutes nothing terrible waste well ", N
" plot poor ridiculous ", N
" dreadful enjoyed great minutes plot today why ", N
" cheap couldnt different plot strong terrible ", N
" different ", N
" avoid bad well ", N
" bad lame supposed worst ", N
" bad boring couldnt horrible ", N
"  ", N
" poorly script worst ", N
" rubbish well ", N
" bad enjoyed great laughable plot predictable script supposed ", N
" poor sorry trash well ", N
" bad plot ", N
" lame predictable script well worse ", N
" couldnt horrible stupid why ", N
" bad none plot pointless ", N
" plot well ", N
" couldnt wasted why ", N
" amateurish awful bad boring cheap different laughable mildly minutes nothing poor trash well ", N
" cheap fails minutes none plot poor redeeming strong waste why ", N
" bad plot ridiculous script well ", N
" atrocious decent forgettable nothing poorly predictable waste well ", N
" beautiful stupid well ", N
" beautiful stupid well ", N
